human_utc,timestamp,close,pct15_pct_str,pct30_pct_str,pct60_pct_str,long_signal,short_quick,action,action_desc,pos_side,pos_entry,pos_size,pos_notional,equity_fmt
2025-10-02 09:00:00 UTC,2025-10-02 09:00:00+00:00,14.779,-1.24%,-0.82%,-0.55%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 09:15:00 UTC,2025-10-02 09:15:00+00:00,14.859,+0.54%,-0.70%,-0.39%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 09:30:00 UTC,2025-10-02 09:30:00+00:00,14.997,+0.93%,+1.48%,+0.64%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 09:45:00 UTC,2025-10-02 09:45:00+00:00,14.972,-0.17%,+0.76%,+0.05%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 10:00:00 UTC,2025-10-02 10:00:00+00:00,14.873,-0.66%,-0.83%,+0.64%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 10:15:00 UTC,2025-10-02 10:15:00+00:00,14.755,-0.79%,-1.45%,-0.70%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 10:30:00 UTC,2025-10-02 10:30:00+00:00,14.315,-2.98%,-3.75%,-4.55%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 10:45:00 UTC,2025-10-02 10:45:00+00:00,14.26,-0.38%,-3.35%,-4.76%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 11:00:00 UTC,2025-10-02 11:00:00+00:00,14.003,-1.80%,-2.18%,-5.85%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 11:15:00 UTC,2025-10-02 11:15:00+00:00,13.973,-0.21%,-2.01%,-5.30%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 11:30:00 UTC,2025-10-02 11:30:00+00:00,13.746,-1.62%,-1.84%,-3.97%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 11:45:00 UTC,2025-10-02 11:45:00+00:00,13.507,-1.74%,-3.34%,-5.28%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 12:00:00 UTC,2025-10-02 12:00:00+00:00,14.151,+4.77%,+2.95%,+1.06%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 12:15:00 UTC,2025-10-02 12:15:00+00:00,13.669,-3.41%,+1.20%,-2.18%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 12:30:00 UTC,2025-10-02 12:30:00+00:00,13.693,+0.18%,-3.24%,-0.39%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 12:45:00 UTC,2025-10-02 12:45:00+00:00,13.513,-1.31%,-1.14%,+0.04%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 13:00:00 UTC,2025-10-02 13:00:00+00:00,13.408,-0.78%,-2.08%,-5.25%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 13:15:00 UTC,2025-10-02 13:15:00+00:00,12.809,-4.47%,-5.21%,-6.29%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 13:30:00 UTC,2025-10-02 13:30:00+00:00,12.849,+0.31%,-4.17%,-6.16%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 13:45:00 UTC,2025-10-02 13:45:00+00:00,12.88,+0.24%,+0.55%,-4.68%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 14:00:00 UTC,2025-10-02 14:00:00+00:00,12.981,+0.78%,+1.03%,-3.18%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
